city,date,price
Changde,14-Dec,96.9
Dalian,14-Dec,93.6
Xining,14-Dec,97.9
Shenzhen,14-Dec,98.7
Beijing,14-Dec,96.6
Shanghai,14-Dec,95.6
Changde,15-Jan,95.4
Dalian,15-Jan,92.7
Xining,15-Jan,96.2
Shenzhen,15-Jan,98.6
Beijing,15-Jan,96
Shanghai,15-Jan,95.1
Changde,15-Feb,93.3
Dalian,15-Feb,91.4
Xining,15-Feb,95.5
Shenzhen,15-Feb,100.7
Beijing,15-Feb,96
Shanghai,15-Feb,94.5
Changde,15-Mar,94.1
Dalian,15-Mar,91.4
Xining,15-Mar,95.1
Shenzhen,15-Mar,99.1
Beijing,15-Mar,95.3
Shanghai,15-Mar,94.1
Changde,15-Apr,93.3
Dalian,15-Apr,91.4
Xining,15-Apr,94.7
Shenzhen,15-Apr,100.7
Beijing,15-Apr,96
Shanghai,15-Apr,94.5
Changde,15-May,93.4
Dalian,15-May,91.4
Xining,15-May,94.3
Shenzhen,15-May,107.7
Beijing,15-May,97.1
Shanghai,15-May,97.2
Changde,15-Jun,93.6
Dalian,15-Jun,91.8
Xining,15-Jun,93.7
Shenzhen,15-Jun,115.9
Beijing,15-Jun,98.6
Shanghai,15-Jun,100.2
Changde,15-Jul,94.4
Dalian,15-Jul,93.3
Xining,15-Jul,93
Shenzhen,15-Jul,124
Beijing,15-Jul,101.2
Shanghai,15-Jul,103.6
Changde,15-Aug,95.2
Dalian,15-Aug,94.7
Xining,15-Aug,94
Shenzhen,15-Aug,131.8
Beijing,15-Aug,103.7
Shanghai,15-Aug,106.5
Changde,15-Sep,96
Dalian,15-Sep,95.4
Xining,15-Sep,95
Shenzhen,15-Sep,138.3
Beijing,15-Sep,105.9
Shanghai,15-Sep,109.7
Changde,15-Oct,96.5
Dalian,15-Oct,96
Xining,15-Oct,95.7
Shenzhen,15-Oct,140.5
Beijing,15-Oct,108.1
Shanghai,15-Oct,112.7
Changde,15-Nov,97
Dalian,15-Nov,97.2
Xining,15-Nov,96.1
Shenzhen,15-Nov,144.6
Beijing,15-Nov,109.6
Shanghai,15-Nov,115.4
Changde,15-Dec,96.6
Dalian,15-Dec,98.2
Xining,15-Dec,96
Shenzhen,15-Dec,147.5
Beijing,15-Dec,110.4
Shanghai,15-Dec,118.2
Changde,16-Jan,97.1
Dalian,16-Jan,98.9
Xining,16-Jan,96.9
Shenzhen,16-Jan,152.7
Beijing,16-Jan,111.3
Shanghai,16-Jan,121.4
Changde,16-Feb,98.1
Dalian,16-Feb,98.9
Xining,16-Feb,97.2
Shenzhen,16-Feb,157.8
Beijing,16-Feb,114.2
Shanghai,16-Feb,125.1
