city,date,price
Changde,14-Dec,96.9
Dalian,14-Dec,93.6
Jinzhou,14-Dec,94.1
Shenzhen,14-Dec,98.7
Beijing,14-Dec,96.6
Shanghai,14-Dec,95.6
Changde,15-Jan,95.4
Dalian,15-Jan,92.7
Jinzhou,15-Jan,93
Shenzhen,15-Jan,98.6
Beijing,15-Jan,96
Shanghai,15-Jan,95.1
Changde,15-Feb,93.3
Dalian,15-Feb,91.4
Jinzhou,15-Feb,90.9
Shenzhen,15-Feb,100.7
Beijing,15-Feb,96
Shanghai,15-Feb,94.5
Changde,15-Mar,94.1
Dalian,15-Mar,91.4
Jinzhou,15-Mar,91.4
Shenzhen,15-Mar,99.1
Beijing,15-Mar,95.3
Shanghai,15-Mar,94.1
Changde,15-Apr,93.3
Dalian,15-Apr,91.4
Jinzhou,15-Apr,90.9
Shenzhen,15-Apr,100.7
Beijing,15-Apr,96
Shanghai,15-Apr,94.5
Changde,15-May,93.4
Dalian,15-May,91.4
Jinzhou,15-May,91.1
Shenzhen,15-May,107.7
Beijing,15-May,97.1
Shanghai,15-May,97.2
Changde,15-Jun,93.6
Dalian,15-Jun,91.8
Jinzhou,15-Jun,91.6
Shenzhen,15-Jun,115.9
Beijing,15-Jun,98.6
Shanghai,15-Jun,100.2
Changde,15-Jul,94.4
Dalian,15-Jul,93.3
Jinzhou,15-Jul,91.2
Shenzhen,15-Jul,124
Beijing,15-Jul,101.2
Shanghai,15-Jul,103.6
Changde,15-Aug,95.2
Dalian,15-Aug,94.7
Jinzhou,15-Aug,92
Shenzhen,15-Aug,131.8
Beijing,15-Aug,103.7
Shanghai,15-Aug,106.5
Changde,15-Sep,96
Dalian,15-Sep,95.4
Jinzhou,15-Sep,93.1
Shenzhen,15-Sep,138.3
Beijing,15-Sep,105.9
Shanghai,15-Sep,109.7
Changde,15-Oct,96.5
Dalian,15-Oct,96
Jinzhou,15-Oct,94.2
Shenzhen,15-Oct,140.5
Beijing,15-Oct,108.1
Shanghai,15-Oct,112.7
Changde,15-Nov,97
Dalian,15-Nov,97.2
Jinzhou,15-Nov,94.7
Shenzhen,15-Nov,144.6
Beijing,15-Nov,109.6
Shanghai,15-Nov,115.4
Changde,15-Dec,96.6
Dalian,15-Dec,98.2
Jinzhou,15-Dec,95
Shenzhen,15-Dec,147.5
Beijing,15-Dec,110.4
Shanghai,15-Dec,118.2
Changde,16-Jan,97.1
Dalian,16-Jan,98.9
Jinzhou,16-Jan,96.5
Shenzhen,16-Jan,152.7
Beijing,16-Jan,111.3
Shanghai,16-Jan,121.4
Changde,16-Feb,98.1
Dalian,16-Feb,98.9
Jinzhou,16-Feb,97.2
Shenzhen,16-Feb,157.8
Beijing,16-Feb,114.2
Shanghai,16-Feb,125.1
